Project,sha,class_,method
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testWrongConfigGroups
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testWrongConfigHosts
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testWrongHost
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testBundleSchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testCoordSLASchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testCoordSchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testCoordSchema2
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testExtSchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testService
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfMultipleJavaOpts
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfSLASchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfSLASchemaNW
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfSchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfSchemaV2
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestSchemaService,testWfSchemaV25
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestServices,testDefaultServices
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestServices,testServiceExtLoading
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestServices,testServicesExtLoading
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestUUIDService,testChildId
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestUUIDService,testConfiguration
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestUUIDService,testPadding
