Project,sha,class_,method,Found
spring-boot,e02dbbc16dcc12a2c28ccdff54885b5bbc80e91f,org.springframework.boot.cli.SampleIntegrationTests,templateSample,2
spring-boot,e1894c1c4ba5fed7c3b22916f05f50ce6235c4dc,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.util.ResourceUtilsTests,directoryOfFilesWithPrefix,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.util.ResourceUtilsTests,duplicateResource,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.util.ResourceUtilsTests,explicitClasspathResourceWithSlash,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFiles,2
spring-boot,e76a571dd320cad51ba9c006e9d500613e6b00b4,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFilesByPattern,2
